,기준 년코드,기준_분기_코드,상권_구분_코드, 상권_구분_코드_명,상권_코드,상권_코드_명,총_생활인구_수,남성_생활인구_수,여성_생활인구_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,엑스좌표_값,와이좌표_값,시군구_코드,행정동_코드,행정구_명
66,2021,1분기,R,전통시장,1001480,새마을시장,785541,365476,420065,122560,122373,137944,137705,108806,156153,178108,149031,97577,106845,156399,97582,110920,111252,112644,111735,111654,116260,111078,207504,445512,11710,11710650,송파구
67,2020,4분기,R,전통시장,1001480,새마을시장,798967,371644,427323,123462,124559,141365,140222,109552,159808,182631,150495,97827,107190,156785,104037,113017,113015,114503,112727,114719,117669,113317,207504,445512,11710,11710650,송파구
68,2021,3분기,R,전통시장,1001479,석촌시장,350529,167090,183441,49710,45198,71715,60079,52390,71440,74679,66829,46830,49100,68803,44291,50294,49227,50329,50659,51140,50616,48265,209440,444521,11710,11710600,송파구
69,2021,2분기,R,전통시장,1001479,석촌시장,406753,194101,212653,61050,53813,82087,69607,60862,79336,87659,77781,54435,55815,79603,51459,57346,57098,57696,58288,58445,59344,58535,209440,444521,11710,11710600,송파구
70,2021,1분기,R,전통시장,1001479,석촌시장,406630,193866,212763,58917,54651,80895,69078,61822,81267,87734,78033,54331,56207,79190,51136,57820,57420,57665,57337,57326,59712,59349,209440,444521,11710,11710600,송파구
71,2020,4분기,R,전통시장,1001479,석촌시장,454074,212695,241379,65719,62023,89300,77088,68770,91175,90373,88039,62801,65793,90853,56215,64932,64452,64598,64493,65199,65673,64728,209440,444521,11710,11710600,송파구
72,2021,3분기,R,전통시장,1001478,방이시장,851137,390389,460747,112962,130303,178193,134962,119060,175655,243541,177861,94695,93279,131950,109810,120891,119839,120882,120260,120996,123357,124910,210212,445747,11710,11710562,송파구
73,2021,2분기,R,전통시장,1001478,방이시장,941513,432371,509142,126519,146057,197626,150836,127194,193281,257805,195675,107015,106954,151538,122525,134243,133456,134129,133634,133053,135523,137474,210212,445747,11710,11710562,송파구
74,2021,1분기,R,전통시장,1001478,방이시장,998948,460250,538698,135245,154809,205891,161363,134845,206796,273834,209296,113598,113630,159184,129407,142696,141973,142244,141800,140317,143959,145959,210212,445747,11710,11710562,송파구
75,2020,4분기,R,전통시장,1001478,방이시장,994076,461447,532628,136221,153359,203190,160662,135355,205289,272119,207268,112077,112386,159891,130334,142322,141440,141163,140585,140778,142402,145387,210212,445747,11710,11710562,송파구
76,2021,3분기,R,전통시장,1001477,마천시장,439878,210036,229843,60443,47375,54837,63807,74416,139002,110742,85977,52983,54907,78538,56730,62597,62281,62407,62358,59952,64901,65381,213336,444311,11710,11710550,송파구
77,2021,2분기,R,전통시장,1001477,마천시장,400574,189447,211126,53461,42426,50215,60957,67738,125778,100430,77944,47471,49899,72655,52176,56006,55723,55867,55772,56084,59953,61168,213336,444311,11710,11710550,송파구
78,2021,1분기,R,전통시장,1001477,마천시장,372439,175969,196469,50759,38337,46240,55663,64851,116589,91163,71353,45019,47934,68433,48537,51922,51921,51827,51700,52314,56192,56563,213336,444311,11710,11710550,송파구
79,2020,4분기,R,전통시장,1001477,마천시장,386686,182646,204041,53053,39688,49456,58853,68752,116883,98033,74487,45691,48054,69686,50736,53946,53702,53420,53950,54534,57758,59376,213336,444311,11710,11710550,송파구
80,2021,3분기,R,전통시장,1001476,풍납시장,612099,277557,334540,83287,64683,85615,95993,103441,179079,169931,117680,64602,65956,105260,88668,85092,85602,85843,85717,86537,90271,93036,210562,448652,11710,11710510,송파구
81,2021,2분기,R,전통시장,1001476,풍납시장,608933,275296,333635,83997,67799,85161,94790,101627,175557,175218,118125,61870,62413,101520,89787,85466,85313,85883,85197,84755,89889,92430,210562,448652,11710,11710510,송파구
